"letzter Abo - Auftrag: Auftrag";"letzter Abo - Auftrag: Kündigung erfasst am";"SAP GP Nummer";"Emailkontakt Text"
"2113154344-0010";"20.03.2026";"0017404657";"Global-Nein"
"2114066431-0010";"20.03.2026";"0016110355";"SHZV-Ja"
"2112129329-0010";"20.03.2026";"0017839271";""
"2114456329-0010";"20.03.2026";"0018783735";"Global-Nein"
"2110309783-0010";"20.03.2026";"0016082648";"Global-Nein"
"2113808812-0010";"20.03.2026";"0019261036";"SHZV-Nein"
"2110291634-0020";"20.03.2026";"0016221557";"SHZV-Nein"
"2110224701-0030";"20.03.2026";"0016161927";"Global-Nein"
"2114987770-0010";"20.03.2026";"0019199803";"SHZV-Nein"
"2110369701-0020";"20.03.2026";"0017342997";"Global-Nein"
"2113741257-0010";"20.03.2026";"0018913636";"SHZV-Ja"
"2114384536-0010";"20.03.2026";"0018112406";"SHZV-Ja"
"2114910006-0010";"20.03.2026";"0017590175";"SHZV-Ja"
"2114985129-0010";"20.03.2026";"0019575608";""
"2115089350-0010";"20.03.2026";"0019601747";""
"2112955352-0010";"20.03.2026";"0017861713";""
"2115175349-0010";"20.03.2026";"0018868346";"SHZV-Nein"
"2114967083-0010";"20.03.2026";"0018574043";""
"2114045273-0010";"20.03.2026";"0019035783";"SHZV-Nein"
"2115171966-0010";"20.03.2026";"0019619025";"SHZV-Ja"
"2115173965-0010";"20.03.2026";"0019619730";"SHZV-Ja"
"2114393754-0010";"20.03.2026";"0019431752";"Global-Nein"
"2114723075-0010";"20.03.2026";"0019513605";""
"2114870852-0010";"20.03.2026";"0019295272";"SHZV-Ja"
"2114965255-0010";"20.03.2026";"0019571097";"SHZV-Nein"
"2115032269-0020";"20.03.2026";"0019513055";"SHZV-Ja"
"2115113709-0010";"20.03.2026";"0019470446";"SHZV-Ja"
"2115171940-0010";"20.03.2026";"0019619006";"SHZV-Ja"
"2115173844-0010";"20.03.2026";"0019619634";"SHZV-Ja"
"2115173812-0010";"20.03.2026";"0019619609";"SHZV-Ja"
"2115177901-0010";"20.03.2026";"0019238768";"SHZV-Ja"
"2115169326-0010";"20.03.2026";"0019380402";"Global-Nein"
"2115170953-0010";"20.03.2026";"0019304060";"SHZV-Ja"
"2115171972-0010";"20.03.2026";"0019619031";"SHZV-Ja"
"2115171973-0010";"20.03.2026";"0019619032";"SHZV-Ja"
"2115171978-0010";"20.03.2026";"0019619037";"SHZV-Ja"
"2115171970-0010";"20.03.2026";"0019619028";"SHZV-Nein"
"2115172486-0010";"20.03.2026";"0018451581";"BEIV-Nein;SHZV-Nein"
"2115174412-0010";"20.03.2026";"0019088576";"SHZV-Ja"
"2115174380-0010";"20.03.2026";"0019155189";"SHZV-Ja"
"2115174433-0010";"20.03.2026";"0018947710";"SHZV-Ja"
"2115173977-0010";"20.03.2026";"0019619743";"SHZV-Ja"
"2115174620-0010";"20.03.2026";"0019386688";"SHZV-Ja"
"2115175157-0010";"20.03.2026";"0019503926";"SHZV-Ja"
"2115177584-0010";"20.03.2026";"0019620792";"SHZV-Ja"
"2115178151-0010";"20.03.2026";"0018179055";"SHZV-Ja"
"2115179552-0010";"20.03.2026";"0019172919";"SHZV-Ja"
"2115176717-0010";"20.03.2026";"0019619600";""
"2115179107-0010";"20.03.2026";"0019621136";"SHZV-Ja"
"2115179095-0010";"20.03.2026";"0019621133";"SHZV-Ja"
"2115179296-0010";"20.03.2026";"0019621198";"SHZV-Ja"
"2115179098-0010";"20.03.2026";"0019600329";"SHZV-Ja"
"2115179108-0010";"20.03.2026";"0019621137";"SHZV-Ja"
"2115179104-0010";"20.03.2026";"0019621135";"SHZV-Ja"
"2114213249-0010";"21.03.2026";"0016350519";""
"2114216136-0010";"21.03.2026";"0019380198";"SHZV-Ja"
"2113735152-0010";"21.03.2026";"0019240683";"SHZV-Ja"
"2114807017-0010";"21.03.2026";"0016018694";"BEIV-Nein;SHZV-Nein"
"2115032901-0010";"21.03.2026";"0019160315";"Global-Nein"
"2114307867-0010";"21.03.2026";"0018222128";"BEIV-Ja"
"2114633879-0010";"21.03.2026";"0016037792";"SHZV-Ja"
"2110330227-0040";"21.03.2026";"0016492838";"Global-Nein"
"2112454863-0010";"21.03.2026";"0017401982";"Global-Nein"
"2115048433-0010";"21.03.2026";"0016411968";"Global-Nein"
"2114764928-0010";"21.03.2026";"0016056549";"SHZV-Nein"
"2112502847-0010";"21.03.2026";"0018437900";"SHZV-Ja"
"2112956119-0010";"21.03.2026";"0018015851";"SHZV-Ja"
"2115173056-0010";"21.03.2026";"0019619357";"BEIV-Ja;SHZV-Ja"
"2115173779-0010";"21.03.2026";"0019619583";"BEIV-Ja;SHZV-Ja"
"2115179080-0010";"21.03.2026";"0019621126";""
"2114916834-0010";"21.03.2026";"0016436073";"SHZV-Ja"
"2115179624-0010";"21.03.2026";"0019621236";""
"2114891019-0010";"22.03.2026";"0019278093";"SHZV-Nein"
"2114061555-0020";"22.03.2026";"0019339019";"SHZV-Ja"
"2114544894-0010";"22.03.2026";"0019333926";"Global-Nein"
"2113805570-0010";"22.03.2026";"0019077632";""
"2112810399-0010";"22.03.2026";"0017641089";"BEIV-Ja;SHZV-Ja"
"2111852133-0010";"22.03.2026";"0018523644";"SHZV-Ja"
"2110218199-0020";"22.03.2026";"0016360033";"SHZV-Ja"
"2113780158-0010";"22.03.2026";"0018948204";"SHZV-Nein"
"2114216744-0010";"22.03.2026";"0019386091";"SHZV-Ja"
"2115054428-0020";"23.03.2026";"0019558907";"SHZV-Ja"
"2115079814-0010";"23.03.2026";"0019500843";"SHZV-Ja"
"2112476681-0010";"23.03.2026";"0018665914";""
"2110663672-0010";"23.03.2026";"0018071374";""
"2114136952-0010";"23.03.2026";"0018629424";"SHZV-Nein"
"2114301011-0010";"23.03.2026";"0019323625";"SHZV-Nein"
"2114167285-0010";"23.03.2026";"0019172946";"BEIV-Ja;SHZV-Ja"
"2114243433-0010";"23.03.2026";"0019117217";""
"2114542210-0010";"23.03.2026";"0017835058";"BEIV-Nein;SHZV-Ja"
"2112130629-0010";"23.03.2026";"0017840452";"SHZV-Ja"
"2114841924-0010";"23.03.2026";"0016207608";"SHZV-Ja"
"2114959926-0010";"23.03.2026";"0017072042";""
"2115011760-0010";"23.03.2026";"0019534094";"SHZV-Ja"
"2115045081-0010";"23.03.2026";"0019442215";"SHZV-Ja"
"2115058667-0010";"23.03.2026";"0019594429";"SHZV-Ja"
"2115174602-0010";"23.03.2026";"0018531080";"SHZV-Ja"
"2111899288-0010";"23.03.2026";"0018570992";"Global-Nein"
"2110361231-0040";"23.03.2026";"0016743499";""
"2110825618-0010";"23.03.2026";"0017798934";""
"2111842797-0010";"23.03.2026";"0015536953";""
"2114338223-0010";"23.03.2026";"0019401817";"BEIV-Nein;SHZV-Ja"
"2114807728-0020";"23.03.2026";"0016022690";"SHZV-Ja"
"2115177798-0010";"23.03.2026";"0019148018";"BEIV-Nein"
"2112911530-0010";"23.03.2026";"0016181462";"SHZV-Ja"
"2113504807-0010";"23.03.2026";"0019163911";""
"2111344173-0010";"23.03.2026";"0018322424";"Global-Nein"
"2110265787-0010";"23.03.2026";"0016649048";"SHZV-Nein"
"2110489481-0010";"23.03.2026";"0017402697";""
"2110473178-0010";"23.03.2026";"0016015699";"Global-Nein"
"2114243206-0010";"23.03.2026";"0019087684";""
"2114638207-0010";"23.03.2026";"0019491818";"Global-Nein"
"2113176305-0010";"23.03.2026";"0016514116";"Global-Nein"
"2114745015-0010";"23.03.2026";"0016201384";"Global-Nein"
"2114766390-0010";"23.03.2026";"0019016789";"SHZV-Ja"
"2114922706-0010";"23.03.2026";"0019562134";"Global-Nein"
"2110345314-0010";"23.03.2026";"0016116712";""
"2115051288-0010";"23.03.2026";"0018939731";"SHZV-Nein"
"2115013077-0010";"23.03.2026";"0014651084";"SHZV-Ja"
"2115019956-0020";"23.03.2026";"0019390533";"SHZV-Ja"
"2115020941-0010";"23.03.2026";"0019569007";"SHZV-Nein"
"2110258415-0010";"23.03.2026";"0016408196";"SHZV-Ja"
"2114984998-0010";"23.03.2026";"0018213608";"SHZV-Ja"
"2115166184-0010";"23.03.2026";"0016107701";"SHZV-Ja"
"2110316661-0050";"23.03.2026";"0016480135";"Global-Nein"
"2115176830-0010";"23.03.2026";"0019620615";"SHZV-Ja"
"2115174442-0010";"23.03.2026";"0019000722";"SHZV-Ja"
"2115174350-0010";"23.03.2026";"0018549238";"SHZV-Ja"
"2114207970-0010";"23.03.2026";"0019317691";"SHZV-Nein"
"2115169765-0010";"23.03.2026";"0019618153";""
"2115172542-0010";"23.03.2026";"0019619221";"SHZV-Ja"
"2115173123-0010";"23.03.2026";"0019619409";"SHZV-Nein"
"2115173158-0010";"23.03.2026";"0019619440";"SHZV-Ja"
"2115174391-0010";"23.03.2026";"0016122986";"SHZV-Ja"
"2115174425-0010";"23.03.2026";"0019381982";"SHZV-Ja"
"2115174379-0010";"23.03.2026";"0019427712";"SHZV-Ja"
"2115174086-0010";"23.03.2026";"0019619836";"SHZV-Ja"
"2115174048-0010";"23.03.2026";"0019619803";"SHZV-Ja"
"2115174092-0010";"23.03.2026";"0019619842";"SHZV-Ja"
"2115174398-0010";"23.03.2026";"0018129388";"SHZV-Nein"
"2115174054-0010";"23.03.2026";"0019619809";"SHZV-Nein"
"2115174014-0010";"23.03.2026";"0019619768";"SHZV-Ja"
"2115174051-0010";"23.03.2026";"0019619806";"SHZV-Ja"
"2115174020-0010";"23.03.2026";"0019619774";"SHZV-Ja"
"2115174417-0010";"23.03.2026";"0019315443";"SHZV-Ja"
"2115175285-0010";"23.03.2026";"0018852800";"SHZV-Nein"
"2115175441-0010";"23.03.2026";"0018207005";"SHZV-Nein"
"2115175289-0010";"23.03.2026";"0018509377";"SHZV-Ja"
"2115175364-0010";"23.03.2026";"0019344227";"SHZV-Nein"
"2115175826-0010";"23.03.2026";"0019349946";"SHZV-Ja"
"2115176444-0010";"23.03.2026";"0019260658";"SHZV-Ja"
"2115176268-0010";"23.03.2026";"0018714907";"SHZV-Ja"
"2115176396-0010";"23.03.2026";"0018692485";"SHZV-Ja"
"2115176996-0010";"23.03.2026";"0019291161";"SHZV-Ja"
"2115176842-0010";"23.03.2026";"0019613288";"SHZV-Ja"
"2115176818-0010";"23.03.2026";"0019620606";"BEIV-Nein;SHZV-Nein"
"2115176979-0010";"23.03.2026";"0019127357";"SHZV-Ja"
"2115172539-0010";"23.03.2026";"0019619218";"SHZV-Nein"
"2115175000-0010";"23.03.2026";"0019620090";"SHZV-Nein"
"2115180186-0010";"23.03.2026";"0019621341";"SHZV-Ja"
"2115180183-0010";"23.03.2026";"0019493880";"SHZV-Nein"
"2114231170-0010";"23.03.2026";"0016668297";"SHZV-Ja"
"2114676937-0020";"23.03.2026";"0019055549";"SHZV-Ja"
"2114881720-0010";"23.03.2026";"0018082878";"SHZV-Ja"
"2110479071-0020";"23.03.2026";"0018975638";""
"2110233627-0010";"24.03.2026";"0016171800";""
"2112954804-0010";"24.03.2026";"0017189578";""
"2110238951-0020";"24.03.2026";"0016008461";""
"2112368282-0010";"24.03.2026";"0018742897";"Global-Nein"
"2113916858-0010";"24.03.2026";"0019294799";"SHZV-Nein"
"2114317437-0010";"24.03.2026";"0016048928";"SHZV-Nein"
"2114243972-0010";"24.03.2026";"0019195391";""
"2114559943-0010";"24.03.2026";"0017455374";"SHZV-Ja"
"2114577265-0010";"24.03.2026";"0016160129";"Global-Nein"
"2110281235-0020";"24.03.2026";"0016216262";""
"2114538267-0010";"24.03.2026";"0017310853";"SHZV-Nein"
"2113504006-0010";"24.03.2026";"0019156567";""
"2114624153-0010";"24.03.2026";"0016066578";""
"2114826077-0010";"24.03.2026";"0019333264";"SHZV-Ja"
"2114875151-0010";"24.03.2026";"0019383529";"SHZV-Ja"
"2114898150-0010";"24.03.2026";"0019279714";""
"2114898501-0010";"24.03.2026";"0017655690";"SHZV-Ja"
"2114528213-0010";"24.03.2026";"0019458170";"SHZV-Ja"
"2115001293-0020";"24.03.2026";"0019579465";"SHZV-Ja"
"2115029283-0010";"24.03.2026";"0019586627";"NOZV-Ja;SHZV-Ja"
"2115048534-0010";"24.03.2026";"0019485286";"SHZV-Ja"
"2112529723-0010";"24.03.2026";"0017017009";"SHZV-Ja"
"2114902091-0010";"24.03.2026";"0019175015";"SHZV-Ja"
"2114944145-0010";"24.03.2026";"0019563346";"SHZV-Ja"
"2115117879-0010";"24.03.2026";"0019607500";""
"2114865840-0010";"24.03.2026";"0019405822";""
"2115125117-0010";"24.03.2026";"0019451867";"SHZV-Ja"
"2115141079-0010";"24.03.2026";"0019500353";"HBWV-Nein"
"2115174535-0010";"24.03.2026";"0019009469";"SHZV-Ja"
"2114832009-0010";"24.03.2026";"0016309355";"BEIV-Ja;SHZV-Ja"
"2113184037-0010";"24.03.2026";"0018207081";"SHZV-Ja"
"2115101123-0010";"24.03.2026";"0018815039";"SHZV-Ja"
"2115174333-0010";"24.03.2026";"0019619929";"Global-Nein"
"2115180776-0010";"24.03.2026";"0016312321";""
"2115181479-0010";"24.03.2026";"0017837140";"Global-Nein"
"2110344114-0040";"24.03.2026";"0016259863";""
"2113492283-0010";"24.03.2026";"0016417362";""
"2114759555-0010";"24.03.2026";"0019407223";"BEIV-Nein"
"2115013902-0010";"24.03.2026";"0019582503";"SHZV-Nein"
"2110436487-0030";"24.03.2026";"0017541262";"SHZV-Nein"
"2110720433-0010";"24.03.2026";"0018090516";""
"2111786808-0010";"24.03.2026";"0017008462";"SHZV-Nein"
"2110277236-0010";"24.03.2026";"0016214347";"Global-Nein"
"2110292326-0010";"24.03.2026";"0016064287";"SHZV-Nein"
"2112920306-0010";"24.03.2026";"0016012139";"SHZV-Nein"
"2113087648-0010";"24.03.2026";"0016582745";"Global-Nein"
"2110259349-0020";"24.03.2026";"0016645989";""
"2110334468-0030";"24.03.2026";"0016495812";"SHZV-Ja"
"2110240252-0020";"24.03.2026";"0016178413";"Global-Nein"
"2114772832-0010";"24.03.2026";"0019520781";"SHZV-Ja"
"2115062623-0010";"24.03.2026";"0019585894";"SHZV-Nein"
"2110353882-0020";"24.03.2026";"0016322609";"SHZV-Nein"
"2112981365-0010";"24.03.2026";"0018078553";"BEIV-Ja;SHZV-Ja"
"2113814816-0010";"24.03.2026";"0016409830";""
"2114899198-0010";"24.03.2026";"0018962043";"SHZV-Ja"
"2112699372-0010";"24.03.2026";"0017648285";"BEIV-Ja;SHZV-Ja"
"2113771047-0010";"24.03.2026";"0018430441";"SHZV-Ja"
"2113301539-0010";"24.03.2026";"0017298343";""
"2114807156-0010";"24.03.2026";"0019497562";"SHZV-Ja"
"2115102228-0010";"24.03.2026";"0019514970";"BEIV-Ja;SHZV-Ja"
"2115178621-0010";"24.03.2026";"0019386390";"SHZV-Ja"
"2115104230-0010";"24.03.2026";"0018912564";"SHZV-Ja"
"2110817971-0010";"24.03.2026";"0017791213";""
"2112132064-0010";"24.03.2026";"0018342674";"SHZV-Ja"
"2110237828-0010";"24.03.2026";"0016177180";"SHZV-Nein"
"2112860081-0010";"24.03.2026";"0018417877";"SHZV-Ja"
"2115172532-0010";"24.03.2026";"0019619211";"SHZV-Ja"
"2112582996-0010";"24.03.2026";"0018828115";""
"2113787394-0010";"24.03.2026";"0019256443";"SHZV-Ja"
"2113717073-0010";"24.03.2026";"0019234506";"SHZV-Ja"
"2115112816-0020";"24.03.2026";"0019606571";"SHZV-Ja"
"2115121873-0020";"24.03.2026";"0019019872";"SHZV-Ja"
"2115136367-0020";"24.03.2026";"0019518621";"SHZV-Ja"
"2115138238-0020";"24.03.2026";"0019611726";""
"2114031660-0020";"24.03.2026";"0019329074";"SHZV-Ja"
"2114829556-0010";"24.03.2026";"0019238498";"SHZV-Nein"
"2114833004-0010";"24.03.2026";"0019133813";"SHZV-Nein"
"2115176429-0010";"24.03.2026";"0019196012";"SHZV-Ja"
"2115176909-0010";"24.03.2026";"0019384522";"SHZV-Nein"
"2115173127-0010";"24.03.2026";"0019619411";"SHZV-Ja"
"2115173129-0010";"24.03.2026";"0019619413";"SHZV-Nein"
"2115173955-0010";"24.03.2026";"0019619721";"SHZV-Nein"
"2115174074-0010";"24.03.2026";"0019619825";"SHZV-Ja"
"2115175048-0010";"24.03.2026";"0019620130";"SHZV-Ja"
"2115178818-0010";"24.03.2026";"0019415645";"SHZV-Ja"
"2115179275-0010";"24.03.2026";"0019621195";""
"2115179799-0010";"24.03.2026";"0019621293";""
"2115179609-0010";"24.03.2026";"0019621231";""
"2115180166-0010";"24.03.2026";"0019465197";""
"2115127602-0010";"24.03.2026";"0018689289";"Global-Nein"
"2110475471-0040";"24.03.2026";"0017105933";"SHZV-Ja"
"2114896004-0010";"24.03.2026";"0018313050";"SHZV-Ja"
"2115018055-0010";"24.03.2026";"0016492024";"SHZV-Nein;SHJV-Nein;SHZA-Nein"
"2115180505-0010";"24.03.2026";"0019617280";"SHZV-Ja"
"2115180364-0010";"24.03.2026";"0019587486";"SHZV-Ja"
"2115174600-0010";"24.03.2026";"0019364313";"Global-Nein"
"2113320517-0010";"25.03.2026";"0019099747";""
"2110258538-0030";"25.03.2026";"0016028030";""
"2110300702-0020";"25.03.2026";"0016669676";""
"2114374854-0010";"25.03.2026";"0019426598";"SHZV-Ja"
"2111717851-0020";"25.03.2026";"0018495600";""
"2113036027-0010";"25.03.2026";"0018905591";""
"2110497656-0050";"25.03.2026";"0016107874";"Global-Nein"
"2110473416-0050";"25.03.2026";"0016016060";"SHZV-Ja"
"2113887640-0020";"25.03.2026";"0018693738";"SHZV-Ja"
"2114244202-0010";"25.03.2026";"0019080029";""
"2114262821-0010";"25.03.2026";"0019395690";""
"2114272973-0010";"25.03.2026";"0016078318";"BEIV-Nein;NOZV-Ja;SHZV-Nein"
"2114531052-0010";"25.03.2026";"0019459296";""
"2114560695-0010";"25.03.2026";"0017838793";"BEIV-Ja;SHZV-Ja"
"2110296400-0050";"25.03.2026";"0016223417";""
"2114728610-0010";"25.03.2026";"0019514947";""
"2114747831-0010";"25.03.2026";"0019001413";"SHZV-Ja"
"2114764162-0010";"25.03.2026";"0018897390";""
"2110256867-0010";"25.03.2026";"0016025825";""
"2114874537-0010";"25.03.2026";"0018472609";"BEIV-Ja;SHZV-Ja"
"2114878391-0010";"25.03.2026";"0017073685";"SHZV-Ja"
"2114879253-0010";"25.03.2026";"0019084657";"SHZV-Ja"
"2114901172-0010";"25.03.2026";"0019489623";"SHZV-Ja"
"2114926614-0020";"25.03.2026";"0019130817";"SHZV-Ja"
"2114954881-0010";"25.03.2026";"0019524413";"BEIV-Ja;SHZV-Ja"
"2114968318-0010";"25.03.2026";"0017635414";"SHZV-Ja"
"2115051833-0010";"25.03.2026";"0019571890";"SHZV-Ja"
"2115098728-0010";"25.03.2026";"0019603731";""
"2110256200-0010";"25.03.2026";"0016024119";""
"2115113248-0010";"25.03.2026";"0019606653";""
"2115175461-0010";"25.03.2026";"0018725771";"SHZV-Ja;HBWV-Ja"
"2110333571-0010";"25.03.2026";"0016249424";""
"2114644431-0010";"25.03.2026";"0018980796";"BEIV-Ja;SHZV-Ja"
